r,counts
0.010000,0.035073
0.030000,0.035264
0.050000,0.035195
0.070000,0.035016
0.090000,0.034722
0.110000,0.034293
0.130000,0.033817
0.150000,0.033101
0.170000,0.032937
0.190000,0.032274
0.210000,0.031844
0.230000,0.031404
0.250000,0.030424
0.270000,0.029584
0.290000,0.028872
0.310000,0.028107
0.330000,0.027219
0.350000,0.026416
0.370000,0.025437
0.390000,0.024513
0.410000,0.023662
0.430000,0.022830
0.450000,0.021819
0.470000,0.020896
0.490000,0.019903
0.510000,0.018704
0.530000,0.017921
0.550000,0.016982
0.570000,0.016028
0.590000,0.015036
0.610000,0.014258
0.630000,0.013356
0.650000,0.012704
0.670000,0.011718
0.690000,0.011307
0.710000,0.010429
0.730000,0.009333
0.750000,0.008718
0.770000,0.008370
0.790000,0.007661
0.810000,0.007168
0.830000,0.006542
0.850000,0.006023
0.870000,0.005371
0.890000,0.004816
0.910000,0.004514
0.930000,0.004092
0.950000,0.003835
0.970000,0.003356
0.990000,0.002939
1.010000,0.002729
1.030000,0.002519
1.050000,0.002222
1.070000,0.002085
1.090000,0.001807
1.110000,0.001617
1.130000,0.001335
1.150000,0.001189
1.170000,0.001068
1.190000,0.000976
1.210000,0.000849
1.230000,0.000749
1.250000,0.000670
1.270000,0.000613
1.290000,0.000545
1.310000,0.000476
1.330000,0.000422
1.350000,0.000340
1.370000,0.000294
1.390000,0.000257
1.410000,0.000202
1.430000,0.000195
1.450000,0.000151
1.470000,0.000127
1.490000,0.000102
1.510000,0.000099
1.530000,0.000080
1.550000,0.000073
1.570000,0.000048
1.590000,0.000057
1.610000,0.000040
1.630000,0.000041
1.650000,0.000038
1.670000,0.000040
1.690000,0.000029
1.710000,0.000025
1.730000,0.000016
1.750000,0.000013
1.770000,0.000015
1.790000,0.000012
1.810000,0.000004
1.830000,0.000003
1.850000,0.000003
1.870000,0.000004
1.890000,0.000004
1.910000,0.000000
1.930000,0.000003
1.950000,0.000003
1.970000,0.000000
1.990000,0.000002
2.010000,0.000002
2.030000,0.000001
2.050000,0.000002
2.070000,0.000000
2.090000,0.000000
2.110000,0.000000
2.130000,0.000000
2.150000,0.000000
2.170000,0.000000
2.190000,0.000000
2.210000,0.000001
2.230000,0.000000
2.250000,0.000000
2.270000,0.000000
2.290000,0.000000
2.310000,0.000000
2.330000,0.000000
2.350000,0.000000
2.370000,0.000000
2.390000,0.000000
2.410000,0.000000
2.430000,0.000000
2.450000,0.000000
2.470000,0.000000
2.490000,0.000000
2.510000,0.000000
2.530000,0.000000
2.550000,0.000000
2.570000,0.000000
2.590000,0.000000
2.610000,0.000000
2.630000,0.000000
2.650000,0.000000
2.670000,0.000000
2.690000,0.000000
2.710000,0.000000
2.730000,0.000000
2.750000,0.000000
2.770000,0.000000
2.790000,0.000000
2.810000,0.000000
2.830000,0.000000
2.850000,0.000000
2.870000,0.000000
2.890000,0.000000
2.910000,0.000000
2.930000,0.000000
2.950000,0.000000
2.970000,0.000000
2.990000,0.000000
3.010000,0.000000
3.030000,0.000000
3.050000,0.000000
3.070000,0.000000
3.090000,0.000000
3.110000,0.000000
3.130000,0.000000
3.150000,0.000000
3.170000,0.000000
3.190000,0.000000
3.210000,0.000000
3.230000,0.000000
3.250000,0.000000
3.270000,0.000000
3.290000,0.000000
3.310000,0.000000
3.330000,0.000000
3.350000,0.000000
3.370000,0.000000
3.390000,0.000000
3.410000,0.000000
3.430000,0.000000
3.450000,0.000000
3.470000,0.000000
3.490000,0.000000
3.510000,0.000000
3.530000,0.000000
3.550000,0.000000
3.570000,0.000000
3.590000,0.000000
3.610000,0.000000
3.630000,0.000000
3.650000,0.000000
3.670000,0.000000
3.690000,0.000000
3.710000,0.000000
3.730000,0.000000
3.750000,0.000000
3.770000,0.000000
3.790000,0.000000
3.810000,0.000000
3.830000,0.000000
3.850000,0.000000
3.870000,0.000000
3.890000,0.000000
3.910000,0.000000
3.930000,0.000000
3.950000,0.000000
3.970000,0.000000
3.990000,0.000000
